时间(s),X坐标(m),Y坐标(m)
794.0753250000479,3.988688022060165,3.7495640049677794
794.1753250000479,3.985449986727436,3.7549188335895853
794.2753250000479,3.9822010863372466,3.7602674280090405
794.375325000048,3.978941332873478,3.7656097661834718
794.475325000048,3.975670738370429,3.7709458260962574
794.575325000048,3.972389314898453,3.7762755857492767
794.675325000048,3.9690970745783636,3.7815990231707834
794.775325000048,3.965794029577425,3.7869161164131704
794.8753250000481,3.9624801920957413,3.7922268435461146
794.9753250000481,3.959155574397351,3.797531182673012
795.0753250000481,3.9558201887684175,3.8028291119089306
795.1753250000481,3.952474047559047,3.808120609403046
795.2753250000482,3.949117163151838,3.813405653321899
795.3753250000482,3.945749547975775,3.818684221856915
795.4753250000482,3.942371214509751,3.8239562932265896
795.5753250000482,3.9389821752683503,3.829221845668642
795.6753250000482,3.935582442816104,3.8344808574481926
795.7753250000483,3.932172029763525,3.839733306855433
795.8753250000483,3.9287509487536263,3.8449791721985087
795.9753250000483,3.925319212492699,3.8502184318205694
796.0753250000483,3.9218768337089287,3.8554510640768864
796.1753250000484,3.9184238251937757,3.8606770473581298
796.2753250000484,3.914960199770851,3.8658963600729925
796.3753250000484,3.9114859703096743,3.8711089806559915
796.4753250000484,3.908001149729139,3.8763148875697153
796.5753250000485,3.9045057509834553,3.881514059296703
796.6753250000485,3.900999787076244,3.8867064743479
796.7753250000485,3.8974832710566147,3.8918921112602556
796.8753250000485,3.893956216005831,3.8970709485893256
796.9753250000485,3.8904186350677454,3.902242964926952
797.0753250000486,3.886870541407869,3.907408138877541
797.1753250000486,3.8833119482542964,3.9125664490821714
797.2753250000486,3.879742868866929,3.917717874200596
797.3753250000486,3.876163316551052,3.9228623929193205
797.4753250000487,3.8725733046607873,3.9279999839539266
797.5753250000487,3.868972846585181,3.933130626040655
797.6753250000487,3.8653619557621335,3.9382542979451443
797.7753250000487,3.861740645674529,3.943370978459962
797.8753250000487,3.858108929837035,3.948480646396934
797.9753250000488,3.854466821826203,3.9535832806054376
798.0753250000488,3.8508143352399937,3.9586788599478506
798.1753250000488,3.847151483738233,3.9637673633244885
798.2753250000488,3.8434782810121817,3.9688487696549846
798.3753250000489,3.839794740797973,3.97392305788664
798.4753250000489,3.836100876880002,3.978990206996817
798.5753250000489,3.83239670307718,3.9840501959842483
798.6753250000489,3.828682233256698,3.989103003878054
798.775325000049,3.8249574813302045,3.9941486097351864
798.875325000049,3.821222461240757,3.9991869926325005
798.975325000049,3.8174771869925515,4.004218131685654
